language_code,language_name,family,n_participants,es_iat_sex_age_order_implicit_resid,es_iat_sex_age_order_explicit_resid,median_country_age,per_women_stem_2012_2017,lang_es_sub,lang_es_wiki,lang_es_wiki_native,mean_prop_distinct_occs,subt_gender_diff_score_fm_abs,wiki_gender_diff_score_fm_abs,wiki_native_gender_diff_score_fm_abs,exclude_wiki_cc
ar,Arabic,Afro-Asiatic,581,-0.025488311990359933,0.37042204790141237,30.3,18.175216666666667,-0.24156041595844716,0.6401106941620707,0.6221119583711029,0,0.040990301574865294,0.0550087878593237,0.044346214189577945,NA
da,Danish,Indo-European,1036,0.0275685054556807,-0.015130537944125909,42.2,12.480726,1.2042953260837819,0.8529126354993974,0.977460254150137,0.36250000000000004,0.06929068889149738,0.07086158578856948,0.07045813667263844,NA
de,German,Indo-European,2498.3333333333335,0.019599449050896514,0.2684290183826774,44.5,12.456546666666666,0.9929869186996753,0.6739625933489081,0.7449423020549446,0.8875,NA,0.09462212362208947,0.145959874185483,NA
en,English,Indo-European,101725.83333333333,-0.0029174860259230584,-0.02653318029264081,39.03333333333333,11.647911166666667,0.6024799683742811,0.6318636686962313,0.9354230598250186,0.15000000000000002,0.046150107612721016,0.05107716476438463,0.04297745256743686,NA
es,Spanish,Indo-European,791.5,-0.0236428983821061,-0.10433662344867062,33.175,13.68766775,0.2671657841584817,0.222241753980418,0.11077764799709314,0.85,0.04903513913295039,0.07107624187008149,0.05310424550843983,NA
fa,Persian,Indo-European,863,-0.020319208107144795,0.049844864762140124,18.8,NaN,0.44180096053638807,0.49883581457930487,0.3634362956787182,0,0.024100958398999745,0.034146728472743144,0.027909614097623412,NA
fi,Finnish,Uralic,1145,-0.0012318740502568653,-0.19517772426574545,42.5,12.957786,0.5106173615901288,0.1893599002507336,0.3046551146524026,0.050000000000000044,0.025165728887244207,0.025167441076086844,0.032743837159215944,NA
fr,French,Indo-European,2705,-0.006405966233272553,0.05082979535342962,41.4,13.687458,0.3365738053221108,0.33783060331684256,0.477013118366223,0.5,0.061309083780537954,0.054549378090347496,0.03537245492245575,NA
he,Hebrew,Afro-Asiatic,758,0.023339602498192974,0.14392612489767995,29.9,NaN,0.7519501828522505,0.47041460827782805,0.36704795911952603,0.85,0.06718636459049718,0.07753409565583565,0.06987236191851598,NA
hi,Hindi,Indo-European,4341,-0.059543297161397744,0.035288648338090214,27.9,25.875145,NA,0.4200775457605744,0.21189082478176166,0.050000000000000044,NA,0.04560773081876219,0.024346886728382672,FALSE
hr,Croatian,Indo-European,603,0.006843921634415922,-0.33669347123245175,43,14.6808725,NA,0.0571556013810499,0.18906153831928607,0.7125,NA,0.06878358256378483,0.04972933984052031,NA
id,Indonesian,Austronesian,401,-0.053660942824779304,0.08529998258308912,30.2,13.529744999999998,0.5408289952796589,-0.12378950328769543,0.07625432436658189,0,0.018730021031836352,0.01647180469188778,0.015017133949234545,NA
