word,female_target,male_target,male_score
fred,0.21190576153091853,0.24509441256036482,0.03318865102944629
henry,0.2155002561886817,0.2871314555743561,0.07163119938567439
him,0.42939408223290754,0.4785149639560994,0.049120881723191845
joe,0.19893183343014406,0.24226171737087904,0.043329883940734976
mark,0.1407819773195004,0.16092573983494346,0.02014376251544306
men,0.2695187974850713,0.3057231259637507,0.03620432847867938
michael,0.19313942350110377,0.23999948817463107,0.046860064673527296
mr.,NA,NA,NA
philip,0.2105891701513821,0.242404232129529,0.0318150619781469
sir,0.19905106237329062,0.26639401825050557,0.06734295587721495
spike,0.18143159276124482,0.18814556052290482,0.00671396776166
tommy,0.24997072401205167,0.31665823344938027,0.0666875094373286
boys,0.29083178267513504,0.3242500731435961,0.033418290468461065
he,0.3985894975106172,0.46061047512359965,0.062020977612982475
david,0.18823218643274517,0.24433321793940266,0.05610103150665749
uncle,0.3726708852382497,0.5102476609356102,0.13757677569736054
antonio,0.15620052189942424,0.20475091331823422,0.048550391418809985
gentlemen,0.19737335120247812,0.24492217090979931,0.047548819707321194
man,0.35121964084656015,0.37660645427683326,0.025386813430273103
mortimer,0.26427960401540873,0.2812135988171423,0.016933994801733576
son,0.38861444938385364,0.44745781188155354,0.05884336249769989
father,0.46478359299292454,0.5563178818656472,0.09153428887272269
paul,0.17598650286428624,0.23151985188155888,0.05553334901727264
nick,0.20438322719685123,0.23600578993974927,0.03162256274289804
george,0.19631935580781104,0.2619605916877592,0.06564123587994816
fireman,0.24084495085311994,0.2923519191685079,0.05150696831538795
hector,0.22969729461834656,0.285895249249306,0.05619795463095942
james,0.20031890049651235,0.2729572614710108,0.07263836097449844
papa,0.19421532228634342,0.26493734444833167,0.07072202216198825
mack,0.23243137133446753,0.26573212513510486,0.03330075380063732
barber,0.2294075259336276,0.2487371598462825,0.01932963391265491
ben,0.2047245648696315,0.2720372904962812,0.06731272562664972
brothers,0.271223326756836,0.3759672701540516,0.1047439433972156
gerald,0.19186424011051098,0.2213806586947842,0.02951641858427323
himself,0.3180727407433294,0.48999320903400917,0.17192046829067975
rocky,0.1457749703437601,0.2013337618586464,0.055558791514886297
prince,0.23269132311270274,0.29598898519817085,0.06329766208546811
dad,0.3406464499127791,0.37469988099485574,0.034053431082076646
his,0.392074211842594,0.4679767892339626,0.07590257739136858
brother,0.40032204798927123,0.465701867270984,0.06537981928171277
ed,0.14441002181147675,0.17452518108605442,0.03011515927457767
guy,0.24689652387097918,0.31125582187383266,0.06435929800285348
mister,0.2304087871348511,0.2604491752682383,0.03004038813338719
motor,0.12249828595476277,0.12282389018060087,3.2560422583810533e-4
