book_id,title,author,line_number,word
1,"Bark, George",Jules Feiffer,1,george’s
1,"Bark, George",Jules Feiffer,1,mother
1,"Bark, George",Jules Feiffer,1,said
1,"Bark, George",Jules Feiffer,2,bark
1,"Bark, George",Jules Feiffer,2,george
1,"Bark, George",Jules Feiffer,3,george
1,"Bark, George",Jules Feiffer,3,went
1,"Bark, George",Jules Feiffer,3,meow
1,"Bark, George",Jules Feiffer,4,no
1,"Bark, George",Jules Feiffer,4,george
1,"Bark, George",Jules Feiffer,4,said
1,"Bark, George",Jules Feiffer,4,george’s
1,"Bark, George",Jules Feiffer,4,mother
1,"Bark, George",Jules Feiffer,5,cats
1,"Bark, George",Jules Feiffer,5,go
1,"Bark, George",Jules Feiffer,5,meow
1,"Bark, George",Jules Feiffer,6,dogs
1,"Bark, George",Jules Feiffer,6,go
1,"Bark, George",Jules Feiffer,6,arf
1,"Bark, George",Jules Feiffer,7,now
1,"Bark, George",Jules Feiffer,7,bark
1,"Bark, George",Jules Feiffer,7,george
1,"Bark, George",Jules Feiffer,8,george
1,"Bark, George",Jules Feiffer,8,went
1,"Bark, George",Jules Feiffer,8,quack
1,"Bark, George",Jules Feiffer,8,quack
1,"Bark, George",Jules Feiffer,9,no
1,"Bark, George",Jules Feiffer,9,george
1,"Bark, George",Jules Feiffer,9,said
1,"Bark, George",Jules Feiffer,9,george’s
1,"Bark, George",Jules Feiffer,9,mother
1,"Bark, George",Jules Feiffer,10,ducks
1,"Bark, George",Jules Feiffer,10,go
1,"Bark, George",Jules Feiffer,10,quack
1,"Bark, George",Jules Feiffer,10,quack
1,"Bark, George",Jules Feiffer,11,dogs
1,"Bark, George",Jules Feiffer,11,go
1,"Bark, George",Jules Feiffer,11,arf
1,"Bark, George",Jules Feiffer,12,now
1,"Bark, George",Jules Feiffer,12,bark
1,"Bark, George",Jules Feiffer,12,george
1,"Bark, George",Jules Feiffer,13,george
1,"Bark, George",Jules Feiffer,13,went
1,"Bark, George",Jules Feiffer,13,oink
1,"Bark, George",Jules Feiffer,14,no
1,"Bark, George",Jules Feiffer,14,george
1,"Bark, George",Jules Feiffer,14,said
1,"Bark, George",Jules Feiffer,14,george’s
1,"Bark, George",Jules Feiffer,14,mother
1,"Bark, George",Jules Feiffer,15,pigs
1,"Bark, George",Jules Feiffer,15,go
1,"Bark, George",Jules Feiffer,15,oink
1,"Bark, George",Jules Feiffer,16,dogs
1,"Bark, George",Jules Feiffer,16,go
1,"Bark, George",Jules Feiffer,16,arf
1,"Bark, George",Jules Feiffer,17,now
1,"Bark, George",Jules Feiffer,17,bark
1,"Bark, George",Jules Feiffer,17,george
1,"Bark, George",Jules Feiffer,18,george
1,"Bark, George",Jules Feiffer,18,went
1,"Bark, George",Jules Feiffer,18,moo
1,"Bark, George",Jules Feiffer,19,george’s
1,"Bark, George",Jules Feiffer,19,mother
1,"Bark, George",Jules Feiffer,19,took
1,"Bark, George",Jules Feiffer,19,george
1,"Bark, George",Jules Feiffer,19,to
1,"Bark, George",Jules Feiffer,19,the
1,"Bark, George",Jules Feiffer,19,vet
1,"Bark, George",Jules Feiffer,20,i’ll
1,"Bark, George",Jules Feiffer,20,soon
1,"Bark, George",Jules Feiffer,20,get
1,"Bark, George",Jules Feiffer,20,to
1,"Bark, George",Jules Feiffer,20,the
1,"Bark, George",Jules Feiffer,20,bottom
1,"Bark, George",Jules Feiffer,20,of
1,"Bark, George",Jules Feiffer,20,this
1,"Bark, George",Jules Feiffer,20,said
1,"Bark, George",Jules Feiffer,20,the
1,"Bark, George",Jules Feiffer,20,vet
1,"Bark, George",Jules Feiffer,21,please
1,"Bark, George",Jules Feiffer,21,bark
1,"Bark, George",Jules Feiffer,21,george
1,"Bark, George",Jules Feiffer,22,george
1,"Bark, George",Jules Feiffer,22,went
1,"Bark, George",Jules Feiffer,22,meow
1,"Bark, George",Jules Feiffer,23,the
1,"Bark, George",Jules Feiffer,23,vet
1,"Bark, George",Jules Feiffer,23,reached
1,"Bark, George",Jules Feiffer,23,deep
1,"Bark, George",Jules Feiffer,23,down
1,"Bark, George",Jules Feiffer,23,inside
1,"Bark, George",Jules Feiffer,23,of
1,"Bark, George",Jules Feiffer,23,george
