occupation,mean_overlap,language_code
dancer,0,fr
doctor/physician,1,fr
firefighter,1,fr
governor,0,fr
hunter,0,fr
journalist,1,fr
judge,1,fr
lawyer,0,fr
mechanic,0,fr
nurse,0,fr
postman/postwoman,1,fr
professor,1,fr
sailor,1,fr
secretary,1,fr
singer,0,fr
waiter,0,fr
athlete,0,de
author,0,de
baker,0,de
cleaner,0.75,de
dancer,0,de
doctor/physician,0,de
firefighter,0,de
governor,1,de
hunter,0,de
journalist,0,de
judge,0,de
lawyer,0,de
mechanic,0,de
nurse,0,de
postman/postwoman,0,de
professor,0,de
sailor,0,de
secretary,0,de
singer,0,de
waiter,0.5,de
athlete,0,he
author,0,he
baker,1,he
cleaner,1,he
dancer,0,he
doctor/physician,0,he
firefighter,0,he
governor,0,he
hunter,0,he
journalist,0,he
judge,0,he
lawyer,0,he
mechanic,0,he
nurse,0,he
postman/postwoman,0,he
professor,0,he
sailor,1,he
secretary,0,he
singer,0,he
waiter,0,he
athlete,1,hi
author,1,hi
baker,1,hi
cleaner,1,hi
dancer,1,hi
doctor/physician,1,hi
firefighter,1,hi
governor,1,hi
hunter,1,hi
journalist,1,hi
judge,1,hi
lawyer,1,hi
mechanic,1,hi
nurse,1,hi
postman/postwoman,1,hi
professor,1,hi
sailor,1,hi
secretary,1,hi
singer,1,hi
waiter,0,hi
athlete,1,id
author,1,id
baker,1,id
cleaner,1,id
dancer,1,id
doctor/physician,1,id
firefighter,1,id
governor,1,id
hunter,1,id
journalist,1,id
judge,1,id
lawyer,1,id
mechanic,1,id
nurse,1,id
postman/postwoman,1,id
professor,1,id
sailor,1,id
secretary,1,id
singer,1,id
waiter,1,id
athlete,1,it
author,0,it
baker,0,it
cleaner,0.5,it
dancer,0,it
doctor/physician,0.5,it
firefighter,1,it
governor,0,it
hunter,0,it
journalist,1,it
judge,1,it
lawyer,0,it
mechanic,1,it
nurse,0,it
postman/postwoman,0,it
professor,0,it
sailor,1,it
secretary,0,it
singer,1,it
waiter,0,it
athlete,1,ja
author,1,ja
baker,1,ja
cleaner,1,ja
dancer,1,ja
doctor/physician,1,ja
firefighter,1,ja
governor,1,ja
hunter,1,ja
journalist,1,ja
judge,1,ja
lawyer,1,ja
mechanic,1,ja
nurse,0,ja
postman/postwoman,1,ja
professor,1,ja
sailor,1,ja
secretary,1,ja
singer,1,ja
waiter,0,ja
athlete,1,ko
author,1,ko
baker,1,ko
cleaner,1,ko
dancer,1,ko
doctor/physician,1,ko
firefighter,1,ko
governor,1,ko
hunter,1,ko
judge,1,ko
lawyer,1,ko
mechanic,1,ko
nurse,1,ko
postman/postwoman,1,ko
professor,1,ko
sailor,1,ko
secretary,1,ko
singer,1,ko
