language_code,subt_gender_diff_score_fm_abs,wiki_gender_diff_score_fm_abs
ar,0.040990301574865294,0.0550087878593237
da,0.06929068889149738,0.07086158578856948
de,NA,0.09462212362208947
en,0.046150107612721016,0.05107716476438463
es,0.04903513913295039,0.07107624187008149
fa,0.024100958398999745,0.034146728472743144
fi,0.025165728887244207,0.025167441076086844
fr,0.061309083780537954,0.054549378090347496
he,0.06718636459049718,0.07753409565583565
hi,NA,0.04560773081876219
hr,NA,0.06878358256378483
id,0.018730021031836352,0.01647180469188778
it,0.0512572502588021,0.07911636169341746
ja,NA,1.1254407384648462e-4
ko,0.025337254869150685,0.04580273280528376
ms,0.03448014462579248,0.013369469389036093
nl,0.051681773815560876,0.08189668237232954
no,0.060010978906900436,0.07474349798716036
pl,0.059565924338795186,0.07995702372367557
pt,0.04040832772809944,0.07697574523303422
ro,0.046628750446382705,0.062008876290326836
sv,0.052205182361369194,0.06897204989449905
tl,NA,0.014323370929263113
tr,0.018453087103914554,0.01641659409305993
zh,NA,0.003376358133205513
