OCCUPATION,male form,typically_used?,female form,typically_used?_1,language,X7,NOTES,Notes,Status,Name,notes
dancer,dancer,yes,dancer,yes,english,NA,NA,NA,NA,NA,NA
nurse,nurse,yes,nurse,yes,english,NA,NA,NA,NA,NA,NA
singer,singer,yes,singer,yes,english,NA,NA,NA,NA,NA,NA
cleaner,cleaner,yes,cleaner,yes,english,NA,NA,NA,NA,NA,NA
secretary,secretary,yes,secretary,yes,english,NA,NA,NA,NA,NA,NA
waiter,waiter,yes,waitress,yes,english,NA,NA,NA,NA,NA,NA
journalist,journalist,yes,journalist,yes,english,NA,NA,NA,NA,NA,NA
baker,baker,yes,baker,yes,english,NA,NA,NA,NA,NA,NA
author,author,yes,authoress,no,english,NA,NA,NA,NA,NA,NA
athlete,athlete,yes,athlete,yes,english,NA,NA,NA,NA,NA,NA
lawyer,lawyer,yes,lawyer,yes,english,NA,NA,NA,NA,NA,NA
doctor/physician,doctor,yes,doctor,yes,english,NA,NA,NA,NA,NA,NA
professor,professor,yes,professor,yes,english,NA,NA,NA,NA,NA,NA
governor,governor,yes,governor,yes,english,NA,NA,NA,NA,NA,NA
judge,judge,yes,judge,yes,english,NA,NA,NA,NA,NA,NA
sailor,sailor,yes,sailor,yes,english,NA,NA,NA,NA,NA,NA
postman/postwoman,postman,yes,postwoman,no,english,NA,NA,NA,NA,NA,NA
mechanic,mechanic,yes,mechanic,yes,english,NA,NA,NA,NA,NA,NA
hunter,hunter,yes,hunter,yes,english,NA,NA,NA,NA,NA,NA
firefighter,firefighter,yes,firefighter,yes,english,NA,NA,NA,NA,NA,NA
dancer,راقصة,don't know,NA,NA,arabic,NA,NA,NA,NA,NA,NA
nurse,ممرضة,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
singer,مطرب,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
cleaner,منظف,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
secretary,سكرتير,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
waiter,نادل,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
journalist,صحافي,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
baker,خباز,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
author,مؤلف,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
athlete,رياضي,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
lawyer,المحامية,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
doctor/physician,طبيب,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
professor,دكتور جامعى,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
governor,محافظ حاكم,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
judge,القاضي,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
sailor,بحار,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
postman/postwoman,ساعي البريد,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
mechanic,الميكانيكي,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
hunter,صياد,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
firefighter,رجال الاطفاء,NA,NA,NA,arabic,NA,NA,NA,NA,NA,NA
dancer,danser,yes,danserinde,no,danish,NA,NA,NA,NA,NA,NA
nurse,sygeplejer,no,sygeplejerske,yes,danish,NA,NA,NA,NA,NA,NA
singer,sanger,yes,sangerinde,no,danish,NA,NA,NA,NA,NA,NA
cleaner,rengøringsdame,yes,rengøringsdame,yes,danish,NA,NA,NA,NA,NA,NA
secretary,Sektratær,yes,Sekratær,yes,danish,NA,NA,NA,NA,NA,NA
waiter,Tjener,yes,Tjenerinde,no,danish,NA,NA,NA,NA,NA,NA
journalist,Journalist,yes,Journalist,yes,danish,NA,NA,NA,NA,NA,NA
baker,Bager,yes,Bager,yes,danish,NA,NA,NA,NA,NA,NA
author,Forfatter,yes,Forfatterinde,no,danish,NA,NA,NA,NA,NA,NA
athlete,Atlet,yes,Atlet,yes,danish,NA,NA,NA,NA,NA,NA
lawyer,Advokat,yes,Advokat,yes,danish,NA,NA,NA,NA,NA,NA
doctor/physician,Læge,yes,Læge,yes,danish,NA,NA,NA,NA,NA,NA
professor,Professor,yes,Porfessor,yes,danish,NA,NA,NA,NA,NA,NA
governor,Guvernør,yes,Guvernør,yes,danish,NA,NA,NA,NA,NA,NA
judge,Dommer,yes,Dommer,yes,danish,NA,NA,NA,NA,NA,NA
sailor,Sejler,yes,Sejler,yes,danish,NA,NA,NA,NA,NA,NA
postman/postwoman,Postbud/postmand,yes,Postbud,yes,danish,NA,NA,NA,NA,NA,NA
mechanic,Mekaniker,yes,Mekaniker,yes,danish,NA,NA,NA,NA,NA,NA
hunter,Jæger,yes,Jæger,yes,danish,NA,NA,NA,NA,NA,NA
firefighter,Brandmand,yes,Brandmand,yes,danish,NA,NA,NA,NA,NA,NA
dancer,el bailarín(ina),yes,la bailarín(ina),yes,spanish,NA,NA,NA,NA,NA,NA
nurse,el enfermero,yes,la enfermera,yes,spanish,NA,NA,NA,NA,NA,NA
singer,el cantante,yes,la cantante,yes,spanish,NA,NA,NA,NA,NA,NA
cleaner,el limpiador,yes,la limpiadora,no,spanish,NA,NA,NA,NA,NA,NA
secretary,el secretario,yes,la secretaria,yes,spanish,NA,NA,NA,NA,NA,NA
waiter,el camarero,yes,la camarera,yes,spanish,NA,NA,NA,NA,NA,NA
journalist,el periodista,yes,la periodista,yes,spanish,NA,NA,NA,NA,NA,NA
baker,el panadero,yes,la panadera,no,spanish,NA,NA,NA,NA,NA,NA
author,el autor,yes,la autora,yes,spanish,NA,NA,NA,NA,NA,NA
athlete,el atleta,yes,la atleta,yes,spanish,NA,NA,NA,NA,NA,NA
lawyer,el abogado,yes,la abogada,yes,spanish,NA,NA,NA,NA,NA,NA
doctor/physician,el doctor,yes,la doctora,yes,spanish,NA,NA,NA,NA,NA,NA
professor,el profesor,yes,la profesora,yes,spanish,NA,NA,NA,NA,NA,NA
governor,el gobernador,yes,la gobernadora,yes,spanish,NA,NA,NA,NA,NA,NA
judge,el juez,yes,la jueza,no,spanish,NA,NA,NA,NA,NA,NA
sailor,el marinero,yes,la marinera,no,spanish,NA,NA,NA,NA,NA,NA
postman/postwoman,el cartero,yes,la cartera,no,spanish,NA,NA,NA,NA,NA,NA
mechanic,el mecánico,yes,la mecánica,yes,spanish,NA,NA,NA,NA,NA,NA
hunter,el cazador,yes,la cazadora,yes,spanish,NA,NA,NA,NA,NA,NA
firefighter,el bombero,yes,la bombera,yes,spanish,NA,NA,NA,NA,NA,NA
dancer,رقاص، رقصگر، رامشگر,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
nurse,پرستار,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
singer,خواننده,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
cleaner,کلفت خانه,don't know,NA,don't know,farsi,"**Couldn't find cleaner, but found housekeeper",NA,NA,NA,NA,NA
secretary,دبیر,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
waiter,پیشخدمت,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
journalist,روزنامه نگار,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
baker,نانوا,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
author,نگارنده,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
athlete,ورزشکار,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
lawyer,وکیل دادگستری,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
doctor/physician,پزشک,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
professor,استاد,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
governor,استاندار,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
judge,دادرس,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
sailor,ملوان,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
postman/postwoman,نامه رسان,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
mechanic,مکانیک,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
hunter,شکارچی,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
firefighter,مامور آتش نشانی,don't know,NA,don't know,farsi,NA,NA,NA,NA,NA,NA
dancer,tanssija,don't know,tanssija,don't know,finnish,NA,NA,NA,NA,NA,NA
nurse,sairaanhoitaja,no,sairaanhoitaja,yes,finnish,NA,NA,NA,NA,NA,NA
singer,laulaja,don't know,laulaja,don't know,finnish,NA,NA,NA,NA,NA,NA
cleaner,puhdistusaine,don't know,puhdistusaine,don't know,finnish,NA,NA,NA,NA,NA,NA
secretary,ministeri,don't know,ministeri,don't know,finnish,NA,NA,NA,NA,NA,NA
waiter,tarjoilija,don't know,tarjoilijatar,don't know,finnish,NA,NA,NA,NA,NA,NA
journalist,toimittaja,don't know,toimittaja,don't know,finnish,NA,NA,NA,NA,NA,NA
baker,leipuri,don't know,leipuri,don't know,finnish,NA,NA,NA,NA,NA,NA
author,tekijä,don't know,tekijä,don't know,finnish,NA,NA,NA,NA,NA,NA
athlete,atleetti,don't know,atleetti,don't know,finnish,NA,NA,NA,NA,NA,NA
lawyer,asianajaja,don't know,asianajaja,don't know,finnish,NA,NA,NA,NA,NA,NA
doctor/physician,lääkäri,don't know,lääkäri,don't know,finnish,NA,NA,NA,NA,NA,NA
professor,opettaja,don't know,opettaja,don't know,finnish,NA,NA,NA,NA,NA,NA
governor,kuvernööri,don't know,kuvernööri,don't know,finnish,NA,NA,NA,NA,NA,NA
judge,tuomari,don't know,tuomari,don't know,finnish,NA,NA,NA,NA,NA,NA
sailor,merimies,don't know,merimies,don't know,finnish,NA,NA,NA,NA,NA,NA
postman/postwoman,postinjakaja,don't know,postinjakaja,don't know,finnish,NA,NA,NA,NA,NA,NA
mechanic,mekaanikko,don't know,mekaanikko,don't know,finnish,NA,NA,NA,NA,NA,NA
hunter,metsästäjä,don't know,metsästäjä,don't know,finnish,NA,NA,NA,NA,NA,NA
firefighter,palomies,don't know,palomies,don't know,finnish,NA,NA,NA,NA,NA,NA
dancer,danseur,yes,danseuse,yes,french,NA,NA,NA,NA,NA,NA
nurse,infirmier,yes,infirmière,yes,french,NA,NA,NA,NA,NA,NA
singer,chanteur,yes,chanteuse,yes,french,NA,NA,NA,NA,NA,NA
cleaner,homme de ménage,no,femme de ménage,yes,french,NA,NA,NA,NA,NA,NA
secretary,secrétaire,no,secrétaire,yes,french,NA,NA,NA,NA,NA,NA
waiter,serveur,yes,serveuse,yes,french,NA,NA,NA,NA,NA,NA
journalist,journaliste,yes,journaliste,yes,french,NA,NA,NA,NA,NA,NA
baker,boulanger,yes,boulangère,yes,french,NA,NA,NA,NA,NA,NA
author,auteur,yes,auteur,yes,french,NA,NA,NA,NA,NA,NA
athlete,athlète,yes,athlète,yes,french,NA,NA,NA,NA,NA,NA
lawyer,avocat,yes,avocate,yes,french,NA,NA,NA,NA,NA,NA
doctor/physician,docteur / médecin,yes,docteur / médecin,yes,french,NA,NA,NA,NA,NA,NA
professor,professeur,yes,professeur,yes,french,NA,NA,NA,NA,NA,NA
governor,directeur,yes,directrice,yes,french,NA,NA,NA,NA,NA,NA
judge,juge,yes,juge,yes,french,NA,NA,NA,NA,NA,NA
sailor,pêcheur,yes,pêcheur,yes,french,NA,NA,NA,NA,NA,NA
postman/postwoman,facteur,yes,facteur,yes,french,NA,NA,NA,NA,NA,NA
mechanic,mécanicien,yes,mécanicienne,no,french,NA,NA,NA,NA,NA,NA
hunter,chasseur,yes,chasseuse,no,french,NA,NA,NA,NA,NA,NA
firefighter,pompier,yes,pompier,yes,french,NA,NA,NA,NA,NA,NA
dancer,רקדן,yes,רקדנית,yes,hebrew,NA,NA,NA,NA,NA,NA
nurse,אח,yes,אחות,yes,hebrew,NA,"these words can also mean brother and sister, respectively. contextual. same pronoucniation",NA,NA,NA,NA
singer,זמר,yes,זמרת,yes,hebrew,NA,NA,NA,NA,NA,NA
cleaner,מנקה,yes,מנקה,yes,hebrew,NA,"While these are spelled similarliy, they are pronounced differently - like Read and Read aren't the same. מנקה can also refer to the action of cleaning. contextual.",NA,NA,NA,NA
secretary,מזכיר,no,מזכירה,yes,hebrew,NA,these words can also refer to the action of 'reminding [someone]' - gendered as well,NA,NA,NA,NA
waiter,מלצר,yes,מלצרית,yes,hebrew,NA,NA,NA,NA,NA,NA
journalist,עיתונאי,yes,עיתונאית,yes,hebrew,NA,NA,NA,NA,NA,NA
baker,אופה,yes,אופה,yes,hebrew,NA,"While these are spelled similarliy, they are pronounced differently - like Read and Read aren't the same. can also refer to the action of baking. varies in pronounciation. contextual.",NA,NA,NA,NA
author,סופר,yes,סופרת,yes,hebrew,NA,"these can also mean 'counting' , also gendered. contextual. pronounced the same.",NA,NA,NA,NA
athlete,ספורטאי,yes,ספורטאית,yes,hebrew,NA,NA,NA,NA,NA,NA
lawyer,עורך דין,yes,עורכת דין,yes,hebrew,NA,NA,NA,NA,NA,NA
doctor/physician,רופא,yes,רופאה,yes,hebrew,NA,NA,NA,NA,NA,NA
professor,פרופסור,yes,פרופסורית,yes,hebrew,NA,NA,NA,NA,NA,NA
governor,מושל,yes,מושלת,no,hebrew,NA,also refers to the act of governing - also gendered - male/female respectively.,NA,NA,NA,NA
judge,שופט,yes,שופטת,yes,hebrew,NA,"also refers to the act of judging - also gendered - male/female respectively. Also, the male form withiut niqqud also means ‘salt’",NA,NA,NA,NA
sailor,מלח,yes,מלח,no,hebrew,NA,literally never heard of a 'female sailor' - waiting for my mom to help out :|,NA,NA,NA,NA
postman/postwoman,דור,yes,דורית,yes,hebrew,NA,"the male form spelling is also contextual, but not against female form - and varies only in pronounciation. דור means 'postman' but it can also means '[a] generation'",NA,NA,NA,NA
