language_code,mean_prop_overlap_occs,native_translator,mean_prop_distinct_occs
ro,0.05,nonnative,0.95
pt,0.1,native,0.9
de,0.1125,native,0.8875
es,0.15,native,0.85
he,0.15,native,0.85
pl,0.2,native,0.8
hr,0.2875,native,0.7125
it,0.4,nonnative,0.6
fr,0.5,native,0.5
nl,0.5375,native,0.4625
da,0.6375,native,0.36250000000000004
sv,0.675,nonnative,0.32499999999999996
no,0.8083333333333333,nonnative,0.19166666666666665
en,0.85,native,0.15000000000000002
ja,0.9,nonnative,0.09999999999999998
ko,0.9473684210526315,native,0.052631578947368474
zh,0.9473684210526315,native,0.052631578947368474
fi,0.95,nonnative,0.050000000000000044
hi,0.95,nonnative,0.050000000000000044
tr,0.9625,nonnative,0.03749999999999998
ar,1,nonnative,0
fa,1,nonnative,0
id,1,nonnative,0
ms,1,native,0
tl,1,nonnative,0
zu,1,nonnative,0
